Usage: ./mm-cuda <size>
blockIdx = 15,15, threadIdx = 6,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 7,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 8,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 9,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 10,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 11,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 12,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 13,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 14,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 15,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 16,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 17,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 18,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 19,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 20,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 21,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 22,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 23,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 24,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 25,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 26,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 27,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 28,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 29,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 30,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 31,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 0,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 1,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 2,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 3,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 4,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 5,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 6,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 7,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 8,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 9,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 10,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 11,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 12,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 13,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 14,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 15,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 16,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 17,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 18,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 19,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 20,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 21,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 22,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 23,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 24,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 25,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 26,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 27,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 28,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 29,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 30,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 31,17, blockDim = 32,32, start time = -673515310
blockIdx = 15,15, threadIdx = 0,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 1,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 2,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 3,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 4,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 5,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 6,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 7,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 8,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 9,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 10,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 11,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 12,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 13,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 14,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 15,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 16,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 17,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 18,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 19,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 20,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 21,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 22,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 23,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 24,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 25,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 26,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 27,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 28,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 29,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 30,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 31,3, blockDim = 32,32, start time = -673515454
blockIdx = 15,15, threadIdx = 0,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 1,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 2,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 3,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 4,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 5,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 6,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 7,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 8,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 9,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 10,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 11,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 12,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 13,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 14,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 15,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 16,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 17,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 18,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 19,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 20,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 21,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 22,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 23,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 24,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 25,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 26,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 27,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 28,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 29,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 30,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 31,1, blockDim = 32,32, start time = -673515295
blockIdx = 15,15, threadIdx = 0,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 1,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 2,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 3,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 4,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 5,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 6,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 7,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 8,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 9,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 10,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 11,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 12,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 13,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 14,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 15,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 16,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 17,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 18,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 19,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 20,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 21,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 22,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 23,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 24,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 25,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 26,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 27,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 28,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 29,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 30,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 31,10, blockDim = 32,32, start time = -673515416
blockIdx = 15,15, threadIdx = 0,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 1,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 2,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 3,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 4,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 5,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 6,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 7,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 8,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 9,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 10,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 11,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 12,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 13,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 14,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 15,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 16,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 17,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 18,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 19,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 20,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 21,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 22,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 23,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 24,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 25,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 26,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 27,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 28,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 29,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 30,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 31,21, blockDim = 32,32, start time = -673515314
blockIdx = 15,15, threadIdx = 0,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 1,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 2,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 3,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 4,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 5,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 6,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 7,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 8,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 9,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 10,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 11,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 12,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 13,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 14,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 15,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 16,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 17,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 18,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 19,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 20,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 21,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 22,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 23,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 24,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 25,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 26,29, blockDim = 32,32, start time = -673515282
blockIdx = 15,15, threadIdx = 27,29, blockDim = 32,32, start time = -673515282
